00406c7a	00406590	0040a070	                      CPropertiesWnd::InitPropList	__imp__lstrcpyW@8
004055d8	004055d0	0040a074	                           ATL::IDocument::Release	__imp__InterlockedDecrement@4
004055d8	004055d0	0040a074	                           ATL::IDocument::Release	__imp__InterlockedDecrement@4
00405764	00405760	0040a078	                            ATL::IDocument::AddRef	__imp__InterlockedIncrement@4
00405764	00405760	0040a078	                            ATL::IDocument::AddRef	__imp__InterlockedIncrement@4
004028fb	004028c0	0040a07c	              CComCtlWrapper::_ImageList_AddMasked	__imp__ActivateActCtx@8
004028fb	004028c0	0040a07c	              CComCtlWrapper::_ImageList_AddMasked	__imp__ActivateActCtx@8
004028ab	00402870	0040a080	CComCtlWrapper::GetProcAddress_ImageList_AddMasked	__imp__GetProcAddress@8
004028ab	00402870	0040a080	CComCtlWrapper::GetProcAddress_ImageList_AddMasked	__imp__GetProcAddress@8
00402880	00402870	0040a084	CComCtlWrapper::GetProcAddress_ImageList_AddMasked	__imp__GetModuleHandleW@4
00402880	00402870	0040a084	CComCtlWrapper::GetProcAddress_ImageList_AddMasked	__imp__GetModuleHandleW@4
00402891	00402870	0040a088	CComCtlWrapper::GetProcAddress_ImageList_AddMasked	__imp__LoadLibraryW@4
00402891	00402870	0040a088	CComCtlWrapper::GetProcAddress_ImageList_AddMasked	__imp__LoadLibraryW@4
004088f1	004088cc	0040a0b0	                                         _onexit_0	_imp___onexit
004088f1	004088cc	0040a0b0	                                         _onexit_0	_imp___onexit
