Address	Ordinal	Name	Library
0040A3B0	2893	CPane::CreateDefaultMiniframe(CRect)	mfc100u
0040A3B4	8135	CMFCToolBar::OnBeforeChangeParent(CWnd *,int)	mfc100u
0040A3B8	8089	CMFCBaseToolBar::OnAfterChangeParent(CWnd *)	mfc100u
0040A3BC	13010	CBasePane::ShowPane(int,int,int)	mfc100u
0040A3C0	5640	CBasePane::GetParentMiniFrame(int)	mfc100u
0040A3C4	7605	CMFCToolBar::LoadState(wchar_t const *,int,uint)	mfc100u
0040A3C8	11912	CMFCToolBar::SaveState(wchar_t const *,int,uint)	mfc100u
0040A3CC	7971	CBasePane::MoveWindow(CRect &,int,void *)	mfc100u
0040A3D0	2734	CBasePane::CopyState(CBasePane *)	mfc100u
0040A3D4	13244	CPane::UndockPane(int)	mfc100u
0040A3D8	10131	CBasePane::OnPaneContextMenu(CWnd *,CPoint)	mfc100u
0040A3DC	2918	CBasePane::CreateEx(ulong,wchar_t const *,wchar_t const *,ulong,tagRECT const &,CWnd *,uint,ulong,CCreateContext *)	mfc100u
0040A3E0	10350	CMFCToolBar::OnSetAccData(long)	mfc100u
0040A3E4	1516	CMFCToolBar::AccNotifyObjectFocusEvent(int)	mfc100u
0040A3E8	3659	CMFCToolBar::DoPaint(CDC *)	mfc100u
0040A3EC	1759	CBasePane::AdjustDockingLayout(void *)	mfc100u
0040A3F0	4484	CPane::GetAvailableExpandSize(void)	mfc100u
0040A3F4	4489	CPane::GetAvailableStretchSize(void)	mfc100u
0040A3F8	2736	CPane::CopyState(CPane *)	mfc100u
0040A3FC	5613	CPane::GetPaneName(ATL::CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>> &)	mfc100u
0040A400	12117	CPane::SetActiveInGroup(int)	mfc100u
0040A404	11139	CPane::PrepareToDock(CDockSite *,AFX_DOCK_METHOD)	mfc100u
0040A408	3553	CPane::DockByMouse(CBasePane *)	mfc100u
0040A40C	2329	CMFCToolBar::CalcSize(int)	mfc100u
0040A410	7962	CPane::MovePane(CRect,int,void * &)	mfc100u
0040A414	13122	CPane::StretchPaneDeferWndPos(int,void * &)	mfc100u
0040A418	7322	CPane::IsChangeState(int,CBasePane * *)	mfc100u
0040A41C	12358	CPane::SetDockState(CDockingManager *)	mfc100u
0040A420	10192	CPane::OnProcessDblClk(void)	mfc100u
0040A424	8142	CPane::OnBeforeFloat(CRect &,AFX_DOCK_METHOD)	mfc100u
0040A428	8105	CMFCToolBar::OnAfterFloat(void)	mfc100u
0040A42C	2817	CPane::Create(wchar_t const *,ulong,tagRECT const &,CWnd *,uint,ulong,CCreateContext *)	mfc100u
0040A430	2936	CPane::CreateEx(ulong,wchar_t const *,ulong,tagRECT const &,CWnd *,uint,ulong,CCreateContext *)	mfc100u
0040A434	2275	CPane::CalcAvailableSize(CRect)	mfc100u
0040A438	1805	CPane::AdjustSizeImmediate(int)	mfc100u
0040A43C	10172	CPane::OnPressCloseButton(void)	mfc100u
0040A440	2675	CPane::ConvertToTabbedDocument(int)	mfc100u
0040A444	8425	CPane::OnContinueMoving(void)	mfc100u
0040A448	8137	CPane::OnBeforeDock(CBasePane * *,tagRECT const *,AFX_DOCK_METHOD)	mfc100u
0040A44C	8104	CMFCToolBar::OnAfterDock(CBasePane *,tagRECT const *,AFX_DOCK_METHOD)	mfc100u
0040A450	8110	CMFCBaseToolBar::OnAfterStretch(int)	mfc100u
0040A454	11600	CPane::RemoveFromMiniframe(CWnd *,AFX_DOCK_METHOD)	mfc100u
0040A458	12364	CPane::SetDragMode(int)	mfc100u
0040A45C	3552	CPane::Dock(CBasePane *,tagRECT const *,AFX_DOCK_METHOD)	mfc100u
0040A460	4006	CPane::EnterDragMode(int)	mfc100u
0040A464	10293	CPane::OnRTLChanged(int)	mfc100u
0040A468	13106	CPane::StoreRecentDockSiteInfo(void)	mfc100u
0040A46C	2932	CMFCToolBar::CreateEx(CWnd *,ulong,ulong,CRect,uint)	mfc100u
0040A470	11747	CMFCToolBar::ResetImages(void)	mfc100u
0040A474	7550	CMFCToolBar::LoadBitmapEx(CMFCToolBarInfo &,int)	mfc100u
0040A478	7631	CMFCToolBar::LoadToolBarEx(uint,CMFCToolBarInfo &,int)	mfc100u
0040A47C	12205	CMFCToolBar::SetButtons(uint const *,int,int)	mfc100u
0040A480	7239	CMFCToolBar::InsertButton(CMFCToolBarButton *,int)	mfc100u
0040A484	7240	CMFCToolBar::InsertButton(CMFCToolBarButton const &,int)	mfc100u
0040A488	7268	CMFCToolBar::InsertSeparator(int)	mfc100u
0040A48C	11579	CMFCToolBar::RemoveButton(int)	mfc100u
0040A490	11547	CMFCToolBar::RemoveAllButtons(void)	mfc100u
0040A494	7842	CMFCVisualManager * CMFCVisualManager::m_pVisManager	mfc100u
0040A498	7835	CRuntimeClass * CMFCVisualManager::m_pRTIDefault	mfc100u
0040A49C	3150	CRuntimeClass::CreateObject(void)	mfc100u
0040A4A0	703	CMFCVisualManager::CMFCVisualManager(int)	mfc100u
0040A4A4	7845	CSize CMFCToolBar::m_sizeButton	mfc100u
0040A4A8	7846	CSize CMFCToolBar::m_sizeCurButton	mfc100u
0040A4AC	7850	CSize CMFCToolBar::m_sizeMenuButton	mfc100u
0040A4B0	1947	AFX_GLOBAL_DATA afxGlobalData	mfc100u
0040A4B4	3385	CMFCToolBar::Deactivate(void)	mfc100u
0040A4B8	11790	CMFCToolBar::RestoreFocus(void)	mfc100u
0040A4BC	5187	CMFCToolBar::GetItemRect(int,tagRECT *)	mfc100u
0040A4C0	5150	CMFCToolBar::GetInvalidateItemRect(int,tagRECT *)	mfc100u
0040A4C4	12209	CMFCToolBar::SetButtonStyle(int,uint)	mfc100u
0040A4C8	11659	CMFCToolBar::RemoveStateFromRegistry(wchar_t const *,int,uint)	mfc100u
0040A4CC	2358	CMFCToolBar::CanBeRestored(void)	mfc100u
0040A4D0	11794	CMFCToolBar::RestoreOriginalstate(void)	mfc100u
0040A4D4	7089	CMFCToolBar::HitTest(CPoint)	mfc100u
0040A4D8	13198	CMFCToolBar::TranslateChar(uint)	mfc100u
0040A4DC	11211	CMFCToolBar::PrevMenu(void)	mfc100u
0040A4E0	8000	CMFCToolBar::NextMenu(void)	mfc100u
0040A4E4	10386	CMFCToolBar::OnSetDefaultButtonText(CMFCToolBarButton *)	mfc100u
0040A4E8	9434	CMFCToolBar::OnGlobalFontsChanged(void)	mfc100u
